DayAheadForecast,DayAheadConfidence10,DayAheadConfidence90,WeekAheadConfidence10,WeekAheadConfidence90,MonitoredCapacity,LoadFactor,MostRecentForecast,Realtime
1215.02,673.69,1728.21,155.86,1916.92,3157.18,0.38,1183.49,1202.18
1249.92,703.75,1763.18,156.44,1924.83,3157.18,0.38,1199.63,1184.77
1286.15,735.14,1799.07,156.96,1932.69,3157.18,0.35,1216.39,1120.0
1322.39,766.54,1834.96,157.49,1940.53,3157.18,0.36,1233.15,1144.4
1358.62,797.93,1870.85,158.01,1948.39,3157.18,0.4,1249.91,1251.11
1386.08,822.06,1898.83,158.63,1956.02,3157.18,0.4,1270.45,1269.05
1404.77,838.91,1918.91,159.32,1963.46,3157.18,0.38,1294.75,1211.14
1423.48,855.76,1939.02,160.02,1970.9,3157.18,0.36,1319.08,1126.38
1442.17,872.62,1959.1,160.71,1978.34,3157.18,0.34,1343.38,1068.63
1389.83,832.75,1939.39,235.81,1878.64,3157.18,0.35,1370.0,1089.9
1410.88,853.55,1959.49,237.66,1885.23,3157.18,0.33,1398.9,1031.39
1431.94,874.36,1979.6,239.49,1891.82,3157.18,0.33,1427.8,1026.77
1452.99,895.15,1999.7,241.33,1898.41,3157.18,0.33,1456.71,1053.02
1477.02,922.85,2018.92,242.98,1904.11,3157.18,0.34,1485.0,1060.59
1504.06,957.44,2037.23,244.45,1908.92,3157.18,0.35,1512.67,1108.77
1531.09,992.03,2055.54,245.92,1913.73,3157.18,0.39,1540.35,1246.13
1558.12,1026.62,2073.85,247.39,1918.54,3157.18,0.47,1568.02,1480.47
1584.53,1060.16,2093.13,248.57,1921.85,3157.18,0.48,1594.49,1505.23
1610.34,1092.64,2113.39,249.5,1923.66,3157.18,0.47,1619.74,1498.0
1636.12,1125.14,2133.67,250.41,1925.48,3157.18,0.48,1645.0,1523.94
1661.93,1157.61,2153.93,251.34,1927.29,3157.18,0.46,1670.25,1459.5
1689.29,1192.41,2174.32,251.68,1927.66,3157.18,0.42,1694.22,1326.93
1718.2,1229.49,2194.82,251.43,1926.61,3157.18,0.43,1716.91,1347.95
1747.09,1266.58,2215.34,251.18,1925.57,3157.18,0.5,1739.58,1562.92
1776.01,1303.66,2235.85,250.93,1924.52,3157.18,0.49,1762.27,1537.02
1802.93,1337.42,2255.92,250.06,1922.76,3157.18,0.45,1580.16,1416.14
1827.86,1367.82,2275.56,248.52,1920.3,3157.18,0.48,1620.93,1507.18
1852.8,1398.23,2295.21,246.99,1917.85,3157.18,0.46,1661.7,1460.79
1877.72,1428.63,2314.84,245.46,1915.38,3157.18,0.49,1702.46,1534.08
1899.32,1454.83,2332.66,243.48,1912.55,3157.18,0.52,1730.72,1650.3
1917.58,1476.82,2348.67,241.03,1909.32,3157.18,0.49,1746.47,1558.89
1935.84,1498.82,2364.66,238.6,1906.09,3157.18,0.53,1762.22,1678.26
1954.1,1520.8,2380.67,236.15,1902.85,3157.18,0.54,1777.96,1698.74
1964.81,1532.33,2391.73,233.39,1899.54,3157.18,0.54,1624.12,1703.93
1967.95,1533.4,2397.87,230.31,1896.12,3157.18,0.49,1626.15,1554.24
1971.09,1534.46,2404.01,227.21,1892.69,3157.18,0.48,1628.18,1505.14
1974.24,1535.53,2410.15,224.13,1889.27,3157.18,0.52,1630.2,1647.17
1980.55,1538.54,2419.94,220.68,1886.12,3157.18,0.56,1658.92,1774.81
1990.01,1543.46,2433.36,216.89,1883.23,3157.18,0.58,1714.33,1844.12
1999.47,1548.41,2446.79,213.09,1880.35,3157.18,0.6,1769.74,1888.12
2008.93,1553.34,2460.21,209.3,1877.47,3157.18,0.59,1825.15,1874.68
2012.07,1551.42,2468.03,205.39,1874.87,3157.18,0.62,1856.67,1947.87
2008.86,1542.63,2470.24,201.36,1872.54,3157.18,0.62,1864.3,1950.66
2005.66,1533.84,2472.46,197.34,1870.2,3157.18,0.61,1871.95,1918.86
2002.45,1525.06,2474.67,193.31,1867.87,3157.18,0.6,1879.59,1903.67
2003.23,1523.92,2477.81,189.37,1865.72,3157.18,0.61,1882.38,1910.48
2007.94,1530.46,2481.88,185.5,1863.77,3157.18,0.62,1880.32,1946.2
2012.68,1536.99,2485.96,181.64,1861.82,3157.18,0.62,1878.27,1947.17
2017.4,1543.52,2490.03,177.77,1859.87,3157.18,0.59,1876.22,1876.8
2017.1,1543.62,2489.86,174.11,1857.98,3157.18,0.58,1875.5,1835.47
2011.79,1537.3,2485.42,170.66,1856.16,3157.18,0.58,1876.13,1821.67
2006.48,1530.98,2480.99,167.18,1854.34,3157.18,0.57,1876.75,1789.89
2001.17,1524.67,2476.55,163.73,1852.53,3157.18,0.56,1877.38,1774.19
1992.15,1510.22,2472.82,160.54,1850.69,3157.18,0.55,1846.6,1732.08
1979.45,1487.63,2469.78,157.61,1848.84,3157.18,0.54,1836.52,1702.53
1966.74,1465.06,2466.76,154.67,1846.99,3157.18,0.51,1826.43,1596.03
1954.04,1442.48,2463.73,151.75,1845.13,3157.18,0.5,1816.35,1593.13
1940.44,1420.37,2458.51,149.24,1843.14,3157.18,0.53,1800.01,1661.21
1925.92,1398.73,2451.13,147.18,1840.99,3157.18,0.55,1777.43,1746.17
1911.41,1377.1,2443.76,145.12,1838.85,3157.18,0.53,1754.85,1686.71
1896.89,1355.46,2436.38,143.06,1836.7,3157.18,0.52,1732.26,1647.09
1878.2,1332.07,2422.11,141.46,1834.33,3157.18,0.52,1704.32,1638.02
1855.35,1306.94,2400.98,140.33,1831.73,3157.18,0.53,1671.01,1662.07
1832.47,1281.8,2379.85,139.21,1829.13,3157.18,0.51,1637.71,1600.63
1809.62,1256.66,2358.72,138.08,1826.52,3157.18,0.52,1604.39,1633.5
1769.22,1212.28,2321.94,137.22,1823.67,3157.18,0.52,1561.5,1630.66
1711.28,1148.64,2269.52,136.6,1820.55,3157.18,0.53,1508.98,1659.33
1653.32,1085.0,2217.1,135.98,1817.44,3157.18,0.5,1456.48,1569.22
1595.38,1021.36,2164.68,135.37,1814.32,3157.18,0.46,1403.97,1452.46
1536.63,960.08,2108.98,134.8,1810.92,3157.18,0.43,1351.96,1359.51
1477.06,901.15,2049.99,134.28,1807.24,3157.18,0.43,1300.44,1367.84
1417.51,842.21,1990.98,133.76,1803.56,3157.18,0.4,1248.93,1265.03
1357.95,783.29,1931.99,133.25,1799.89,3157.18,0.35,1197.41,1116.41
1309.91,738.43,1881.38,132.63,1795.98,3157.18,0.33,1180.16,1033.62
1273.38,707.63,1839.15,131.91,1791.85,3157.18,0.33,1142.48,1030.67
1236.86,676.85,1796.91,131.2,1787.74,3157.18,0.32,1104.82,999.96
1200.33,646.05,1754.68,130.49,1783.62,3157.18,0.32,1067.15,995.39
1175.71,624.44,1727.1,129.53,1779.54,3157.18,0.31,1044.75,989.28
1162.95,612.01,1714.18,128.35,1775.51,3157.18,0.32,1037.6,1017.1
1150.2,599.59,1701.27,127.16,1771.46,3157.18,0.33,1030.46,1034.82
1137.44,587.16,1688.35,125.98,1767.43,3157.18,0.31,1023.31,974.26
1124.79,573.59,1676.61,124.31,1763.46,3157.18,0.3,1021.8,953.67
1112.25,558.89,1666.03,122.17,1759.56,3157.18,0.3,1025.9,947.15
1099.7,544.19,1655.49,120.03,1755.66,3157.18,0.31,1030.01,966.76
1087.15,529.49,1644.92,117.89,1751.75,3157.18,0.31,1034.11,985.24
1072.71,516.61,1629.1,115.31,1747.95,3157.18,0.33,1028.08,1037.3
1056.37,505.58,1608.02,112.31,1744.25,3157.18,0.34,1011.94,1072.72
1040.02,494.54,1586.93,109.31,1740.55,3157.18,0.35,995.79,1101.1
1023.68,483.5,1565.86,106.3,1736.86,3157.18,0.36,979.65,1141.99
1007.37,472.82,1544.3,103.05,1733.35,3157.18,0.38,965.87,1201.73
991.08,462.47,1522.24,99.57,1730.07,3157.18,0.41,954.46,1279.0
974.82,452.14,1500.19,96.1,1726.77,3157.18,0.4,943.06,1277.63
958.54,441.79,1478.14,92.61,1723.48,3157.18,0.38,931.65,1187.43
945.43,434.39,1459.71,89.45,1720.42,3157.18,0.37,1082.9,1179.74
935.5,429.92,1444.89,86.59,1717.6,3157.18,0.34,1055.03,1085.09
925.56,425.46,1430.07,83.74,1714.77,3157.18,0.32,1027.17,1023.7
915.62,420.98,1415.25,80.89,1711.95,3157.18,0.31,999.31,982.96
910.44,416.51,1410.26,78.74,1709.41,3157.18,0.3,981.13,943.75
910.02,412.03,1415.1,77.3,1707.15,3157.18,0.31,972.62,981.28
909.61,407.55,1419.97,75.87,1704.88,3157.18,0.32,964.1,1010.62
909.19,403.06,1424.81,74.42,1702.61,3157.18,0.33,955.59,1051.24
910.34,404.41,1426.71,73.24,1700.61,3157.18,0.34,950.52,1074.09
913.06,411.6,1425.67,72.31,1698.88,3157.18,0.31,948.89,974.92
915.8,418.79,1424.62,71.39,1697.15,3157.18,0.29,947.25,909.25
918.52,425.98,1423.58,70.46,1695.42,3157.18,0.27,945.62,867.87
904.19,412.04,1398.27,55.94,1261.47,3157.18,0.26,942.91,835.37
904.76,411.93,1399.67,55.1,1253.0,3157.18,0.25,939.11,792.8
905.34,411.82,1401.07,54.26,1244.54,3157.18,0.23,935.29,720.73
905.92,411.72,1402.48,53.43,1236.08,3157.18,0.22,931.49,692.14
901.09,406.61,1398.03,52.72,1228.98,3157.18,0.21,922.46,670.69
890.86,396.48,1387.72,52.14,1223.25,3157.18,0.21,908.2,657.77
880.61,386.36,1377.4,51.54,1217.52,3157.18,0.2,893.94,637.5
870.37,376.24,1367.09,50.97,1211.79,3157.18,0.22,879.69,686.22
857.34,367.54,1349.65,50.45,1207.14,3157.18,0.22,863.69,704.49
841.52,360.28,1325.07,50.0,1203.54,3157.18,0.23,845.96,714.12
825.67,353.01,1300.5,49.54,1199.95,3157.18,0.21,828.22,656.75
809.84,345.75,1275.93,49.1,1196.36,3157.18,0.2,810.48,640.62
790.63,333.51,1249.62,48.59,1193.42,3157.18,0.19,796.49,610.82
768.02,316.31,1221.58,48.03,1191.12,3157.18,0.19,786.25,613.76
745.42,299.1,1193.52,47.47,1188.84,3157.18,0.22,775.99,679.27
722.82,281.9,1165.48,46.91,1186.54,3157.18,0.25,765.75,799.77
707.5,272.85,1144.01,46.28,1184.53,3157.18,0.28,607.61,868.92
699.48,271.95,1129.12,45.59,1182.8,3157.18,0.27,605.9,837.22
691.45,271.03,1114.24,44.9,1181.07,3157.18,0.27,604.19,857.42
683.43,270.13,1099.35,44.21,1179.34,3157.18,0.26,602.49,823.87
680.79,271.23,1093.2,43.41,1177.54,3157.18,0.24,608.79,770.76
683.53,274.33,1095.8,42.52,1175.68,3157.18,0.23,623.09,738.05
686.29,277.42,1098.39,41.63,1173.83,3157.18,0.25,637.37,778.49
689.04,280.52,1100.99,40.74,1171.98,3157.18,0.25,651.68,790.98
